event_id,task_id,agent_id,action_type,tool_id,decision_id,policy_result,timestamp,reason,evidence
audit_000015,task_00009,metrics_agent,tool_permission_evaluation,check_metric_definition,,allow,2026-01-01 00:00:14,least_privilege_and_approval_policy,tool policy engine
audit_000016,task_00009,metrics_agent,tool_permission_evaluation,compare_metric_versions,,allow,2026-01-01 00:00:15,least_privilege_and_approval_policy,tool policy engine
audit_000017,task_00010,governance_agent,tool_permission_evaluation,check_access_policy,,allow,2026-01-01 00:00:16,least_privilege_and_approval_policy,tool policy engine
audit_000018,task_00010,governance_agent,tool_permission_evaluation,detect_prompt_injection,,allow,2026-01-01 00:00:17,least_privilege_and_approval_policy,tool policy engine
audit_000019,task_00011,security_agent,tool_permission_evaluation,,,deny,2026-01-01 00:00:18,prompt_injection_block,tool policy engine
audit_000020,task_00012,executive_agent,tool_permission_evaluation,generate_executive_briefing,,allow,2026-01-01 00:00:19,least_privilege_and_approval_policy,tool policy engine
audit_000021,task_00012,executive_agent,tool_permission_evaluation,summarize_cross_domain_risk,,allow,2026-01-01 00:00:20,least_privilege_and_approval_policy,tool policy engine
audit_000022,task_00013,finance_agent,tool_permission_evaluation,query_revenue_anomalies,,require_approval,2026-01-01 00:00:21,least_privilege_and_approval_policy,tool policy engine
audit_000023,task_00013,finance_agent,tool_permission_evaluation,calculate_margin_impact,,require_approval,2026-01-01 00:00:22,least_privilege_and_approval_policy,tool policy engine
audit_000024,task_00014,fraud_agent,tool_permission_evaluation,score_transaction_risk,,require_approval,2026-01-01 00:00:23,least_privilege_and_approval_policy,tool policy engine
audit_000025,task_00014,fraud_agent,tool_permission_evaluation,check_identity_graph,,require_approval,2026-01-01 00:00:24,least_privilege_and_approval_policy,tool policy engine
audit_000026,task_00015,support_agent,tool_permission_evaluation,summarize_support_case,,allow,2026-01-01 00:00:25,least_privilege_and_approval_policy,tool policy engine
audit_000027,task_00015,support_agent,tool_permission_evaluation,recommend_refund,,allow,2026-01-01 00:00:26,least_privilege_and_approval_policy,tool policy engine
audit_000028,task_00016,supply_chain_agent,tool_permission_evaluation,check_inventory_risk,,allow,2026-01-01 00:00:27,least_privilege_and_approval_policy,tool policy engine
audit_000029,task_00016,supply_chain_agent,tool_permission_evaluation,simulate_reroute,,allow,2026-01-01 00:00:28,least_privilege_and_approval_policy,tool policy engine
audit_000030,task_00017,healthcare_ops_agent,tool_permission_evaluation,validate_claim_documents,,require_approval,2026-01-01 00:00:29,least_privilege_and_approval_policy,tool policy engine
audit_000031,task_00017,healthcare_ops_agent,tool_permission_evaluation,check_policy_eligibility,,require_approval,2026-01-01 00:00:30,least_privilege_and_approval_policy,tool policy engine
audit_000032,task_00018,data_quality_agent,tool_permission_evaluation,,,deny,2026-01-01 00:00:31,least_privilege_and_approval_policy,tool policy engine
audit_000033,task_00019,reliability_agent,tool_permission_evaluation,,,deny,2026-01-01 00:00:32,least_privilege_and_approval_policy,tool policy engine
audit_000034,task_00020,rag_agent,tool_permission_evaluation,retrieve_documents,,allow,2026-01-01 00:00:33,least_privilege_and_approval_policy,tool policy engine
audit_000035,task_00020,rag_agent,tool_permission_evaluation,validate_citations,,allow,2026-01-01 00:00:34,least_privilege_and_approval_policy,tool policy engine
audit_000036,task_00021,metrics_agent,tool_permission_evaluation,check_metric_definition,,allow,2026-01-01 00:00:35,least_privilege_and_approval_policy,tool policy engine
audit_000037,task_00021,metrics_agent,tool_permission_evaluation,compare_metric_versions,,allow,2026-01-01 00:00:36,least_privilege_and_approval_policy,tool policy engine
audit_000038,task_00022,governance_agent,tool_permission_evaluation,check_access_policy,,require_approval,2026-01-01 00:00:37,least_privilege_and_approval_policy,tool policy engine
audit_000039,task_00022,governance_agent,tool_permission_evaluation,detect_prompt_injection,,require_approval,2026-01-01 00:00:38,least_privilege_and_approval_policy,tool policy engine
audit_000040,task_00023,security_agent,tool_permission_evaluation,,,deny,2026-01-01 00:00:39,prompt_injection_block,tool policy engine
audit_000041,task_00024,executive_agent,tool_permission_evaluation,generate_executive_briefing,,require_approval,2026-01-01 00:00:40,least_privilege_and_approval_policy,tool policy engine
audit_000042,task_00024,executive_agent,tool_permission_evaluation,summarize_cross_domain_risk,,require_approval,2026-01-01 00:00:41,least_privilege_and_approval_policy,tool policy engine
audit_000043,task_00025,finance_agent,tool_permission_evaluation,query_revenue_anomalies,,allow,2026-01-01 00:00:42,least_privilege_and_approval_policy,tool policy engine
audit_000044,task_00025,finance_agent,tool_permission_evaluation,calculate_margin_impact,,allow,2026-01-01 00:00:43,least_privilege_and_approval_policy,tool policy engine
audit_000045,task_00026,fraud_agent,tool_permission_evaluation,score_transaction_risk,,allow,2026-01-01 00:00:44,least_privilege_and_approval_policy,tool policy engine
audit_000046,task_00026,fraud_agent,tool_permission_evaluation,check_identity_graph,,allow,2026-01-01 00:00:45,least_privilege_and_approval_policy,tool policy engine
audit_000047,task_00027,support_agent,tool_permission_evaluation,summarize_support_case,,require_approval,2026-01-01 00:00:46,least_privilege_and_approval_policy,tool policy engine
audit_000048,task_00027,support_agent,tool_permission_evaluation,recommend_refund,,require_approval,2026-01-01 00:00:47,least_privilege_and_approval_policy,tool policy engine
audit_000049,task_00028,supply_chain_agent,tool_permission_evaluation,check_inventory_risk,,allow,2026-01-01 00:00:48,least_privilege_and_approval_policy,tool policy engine
audit_000050,task_00028,supply_chain_agent,tool_permission_evaluation,simulate_reroute,,allow,2026-01-01 00:00:49,least_privilege_and_approval_policy,tool policy engine
audit_000051,task_00029,healthcare_ops_agent,tool_permission_evaluation,validate_claim_documents,,require_approval,2026-01-01 00:00:50,least_privilege_and_approval_policy,tool policy engine
audit_000052,task_00029,healthcare_ops_agent,tool_permission_evaluation,check_policy_eligibility,,require_approval,2026-01-01 00:00:51,least_privilege_and_approval_policy,tool policy engine
audit_000053,task_00030,data_quality_agent,tool_permission_evaluation,,,deny,2026-01-01 00:00:52,least_privilege_and_approval_policy,tool policy engine
audit_000054,task_00031,reliability_agent,tool_permission_evaluation,,,deny,2026-01-01 00:00:53,least_privilege_and_approval_policy,tool policy engine
audit_000055,task_00032,rag_agent,tool_permission_evaluation,retrieve_documents,,allow,2026-01-01 00:00:54,least_privilege_and_approval_policy,tool policy engine
audit_000056,task_00032,rag_agent,tool_permission_evaluation,validate_citations,,allow,2026-01-01 00:00:55,least_privilege_and_approval_policy,tool policy engine
audit_000057,task_00033,metrics_agent,tool_permission_evaluation,check_metric_definition,,allow,2026-01-01 00:00:56,least_privilege_and_approval_policy,tool policy engine
audit_000058,task_00033,metrics_agent,tool_permission_evaluation,compare_metric_versions,,allow,2026-01-01 00:00:57,least_privilege_and_approval_policy,tool policy engine
audit_000059,task_00034,governance_agent,tool_permission_evaluation,check_access_policy,,allow,2026-01-01 00:00:58,least_privilege_and_approval_policy,tool policy engine
audit_000060,task_00034,governance_agent,tool_permission_evaluation,detect_prompt_injection,,allow,2026-01-01 00:00:59,least_privilege_and_approval_policy,tool policy engine
audit_000061,task_00035,security_agent,tool_permission_evaluation,,,deny,2026-01-01 00:01:00,prompt_injection_block,tool policy engine
audit_000062,task_00036,executive_agent,tool_permission_evaluation,generate_executive_briefing,,require_approval,2026-01-01 00:01:01,least_privilege_and_approval_policy,tool policy engine
audit_000063,task_00036,executive_agent,tool_permission_evaluation,summarize_cross_domain_risk,,require_approval,2026-01-01 00:01:02,least_privilege_and_approval_policy,tool policy engine
audit_000064,task_00037,finance_agent,tool_permission_evaluation,query_revenue_anomalies,,allow,2026-01-01 00:01:03,least_privilege_and_approval_policy,tool policy engine
audit_000065,task_00037,finance_agent,tool_permission_evaluation,calculate_margin_impact,,allow,2026-01-01 00:01:04,least_privilege_and_approval_policy,tool policy engine
audit_000066,task_00038,fraud_agent,tool_permission_evaluation,score_transaction_risk,,require_approval,2026-01-01 00:01:05,least_privilege_and_approval_policy,tool policy engine
audit_000067,task_00038,fraud_agent,tool_permission_evaluation,check_identity_graph,,require_approval,2026-01-01 00:01:06,least_privilege_and_approval_policy,tool policy engine
audit_000068,task_00039,support_agent,tool_permission_evaluation,summarize_support_case,,allow,2026-01-01 00:01:07,least_privilege_and_approval_policy,tool policy engine
audit_000069,task_00039,support_agent,tool_permission_evaluation,recommend_refund,,allow,2026-01-01 00:01:08,least_privilege_and_approval_policy,tool policy engine
audit_000070,task_00040,supply_chain_agent,tool_permission_evaluation,check_inventory_risk,,allow,2026-01-01 00:01:09,least_privilege_and_approval_policy,tool policy engine
audit_000071,task_00040,supply_chain_agent,tool_permission_evaluation,simulate_reroute,,allow,2026-01-01 00:01:10,least_privilege_and_approval_policy,tool policy engine
audit_000072,task_00041,healthcare_ops_agent,tool_permission_evaluation,validate_claim_documents,,require_approval,2026-01-01 00:01:11,least_privilege_and_approval_policy,tool policy engine
audit_000073,task_00041,healthcare_ops_agent,tool_permission_evaluation,check_policy_eligibility,,require_approval,2026-01-01 00:01:12,least_privilege_and_approval_policy,tool policy engine
audit_000074,task_00042,data_quality_agent,tool_permission_evaluation,,,deny,2026-01-01 00:01:13,least_privilege_and_approval_policy,tool policy engine
audit_000075,task_00043,reliability_agent,tool_permission_evaluation,,,deny,2026-01-01 00:01:14,least_privilege_and_approval_policy,tool policy engine
audit_000076,task_00044,rag_agent,tool_permission_evaluation,retrieve_documents,,require_approval,2026-01-01 00:01:15,least_privilege_and_approval_policy,tool policy engine
audit_000077,task_00044,rag_agent,tool_permission_evaluation,validate_citations,,require_approval,2026-01-01 00:01:16,least_privilege_and_approval_policy,tool policy engine
audit_000078,task_00045,metrics_agent,tool_permission_evaluation,check_metric_definition,,require_approval,2026-01-01 00:01:17,least_privilege_and_approval_policy,tool policy engine
audit_000079,task_00045,metrics_agent,tool_permission_evaluation,compare_metric_versions,,require_approval,2026-01-01 00:01:18,least_privilege_and_approval_policy,tool policy engine
audit_000080,task_00046,governance_agent,tool_permission_evaluation,check_access_policy,,allow,2026-01-01 00:01:19,least_privilege_and_approval_policy,tool policy engine
audit_000081,task_00046,governance_agent,tool_permission_evaluation,detect_prompt_injection,,allow,2026-01-01 00:01:20,least_privilege_and_approval_policy,tool policy engine
audit_000082,task_00047,security_agent,tool_permission_evaluation,,,deny,2026-01-01 00:01:21,prompt_injection_block,tool policy engine
audit_000083,task_00048,executive_agent,tool_permission_evaluation,generate_executive_briefing,,require_approval,2026-01-01 00:01:22,least_privilege_and_approval_policy,tool policy engine
audit_000084,task_00048,executive_agent,tool_permission_evaluation,summarize_cross_domain_risk,,require_approval,2026-01-01 00:01:23,least_privilege_and_approval_policy,tool policy engine
audit_000085,task_00049,finance_agent,tool_permission_evaluation,query_revenue_anomalies,,require_approval,2026-01-01 00:01:24,least_privilege_and_approval_policy,tool policy engine
audit_000086,task_00049,finance_agent,tool_permission_evaluation,calculate_margin_impact,,require_approval,2026-01-01 00:01:25,least_privilege_and_approval_policy,tool policy engine
audit_000087,task_00050,fraud_agent,tool_permission_evaluation,score_transaction_risk,,require_approval,2026-01-01 00:01:26,least_privilege_and_approval_policy,tool policy engine
audit_000088,task_00050,fraud_agent,tool_permission_evaluation,check_identity_graph,,require_approval,2026-01-01 00:01:27,least_privilege_and_approval_policy,tool policy engine
audit_000089,task_00051,support_agent,tool_permission_evaluation,summarize_support_case,,allow,2026-01-01 00:01:28,least_privilege_and_approval_policy,tool policy engine
audit_000090,task_00051,support_agent,tool_permission_evaluation,recommend_refund,,allow,2026-01-01 00:01:29,least_privilege_and_approval_policy,tool policy engine
audit_000091,task_00052,supply_chain_agent,tool_permission_evaluation,check_inventory_risk,,allow,2026-01-01 00:01:30,least_privilege_and_approval_policy,tool policy engine
audit_000092,task_00052,supply_chain_agent,tool_permission_evaluation,simulate_reroute,,allow,2026-01-01 00:01:31,least_privilege_and_approval_policy,tool policy engine
audit_000093,task_00053,healthcare_ops_agent,tool_permission_evaluation,validate_claim_documents,,require_approval,2026-01-01 00:01:32,least_privilege_and_approval_policy,tool policy engine
audit_000094,task_00053,healthcare_ops_agent,tool_permission_evaluation,check_policy_eligibility,,require_approval,2026-01-01 00:01:33,least_privilege_and_approval_policy,tool policy engine
audit_000095,task_00054,data_quality_agent,tool_permission_evaluation,,,deny,2026-01-01 00:01:34,least_privilege_and_approval_policy,tool policy engine
audit_000096,task_00055,reliability_agent,tool_permission_evaluation,,,deny,2026-01-01 00:01:35,least_privilege_and_approval_policy,tool policy engine
audit_000097,task_00056,rag_agent,tool_permission_evaluation,retrieve_documents,,require_approval,2026-01-01 00:01:36,least_privilege_and_approval_policy,tool policy engine
audit_000098,task_00056,rag_agent,tool_permission_evaluation,validate_citations,,require_approval,2026-01-01 00:01:37,least_privilege_and_approval_policy,tool policy engine
audit_000099,task_00057,metrics_agent,tool_permission_evaluation,check_metric_definition,,allow,2026-01-01 00:01:38,least_privilege_and_approval_policy,tool policy engine
audit_000100,task_00057,metrics_agent,tool_permission_evaluation,compare_metric_versions,,allow,2026-01-01 00:01:39,least_privilege_and_approval_policy,tool policy engine
audit_000101,task_00058,governance_agent,tool_permission_evaluation,check_access_policy,,allow,2026-01-01 00:01:40,least_privilege_and_approval_policy,tool policy engine
audit_000102,task_00058,governance_agent,tool_permission_evaluation,detect_prompt_injection,,allow,2026-01-01 00:01:41,least_privilege_and_approval_policy,tool policy engine
audit_000103,task_00059,security_agent,tool_permission_evaluation,,,deny,2026-01-01 00:01:42,prompt_injection_block,tool policy engine
audit_000104,task_00060,executive_agent,tool_permission_evaluation,generate_executive_briefing,,allow,2026-01-01 00:01:43,least_privilege_and_approval_policy,tool policy engine
audit_000105,task_00060,executive_agent,tool_permission_evaluation,summarize_cross_domain_risk,,allow,2026-01-01 00:01:44,least_privilege_and_approval_policy,tool policy engine
audit_000106,task_00061,finance_agent,tool_permission_evaluation,query_revenue_anomalies,,require_approval,2026-01-01 00:01:45,least_privilege_and_approval_policy,tool policy engine
audit_000107,task_00061,finance_agent,tool_permission_evaluation,calculate_margin_impact,,require_approval,2026-01-01 00:01:46,least_privilege_and_approval_policy,tool policy engine
audit_000108,task_00062,fraud_agent,tool_permission_evaluation,score_transaction_risk,,allow,2026-01-01 00:01:47,least_privilege_and_approval_policy,tool policy engine
audit_000109,task_00062,fraud_agent,tool_permission_evaluation,check_identity_graph,,allow,2026-01-01 00:01:48,least_privilege_and_approval_policy,tool policy engine
audit_000110,task_00063,support_agent,tool_permission_evaluation,summarize_support_case,,require_approval,2026-01-01 00:01:49,least_privilege_and_approval_policy,tool policy engine
audit_000111,task_00063,support_agent,tool_permission_evaluation,recommend_refund,,require_approval,2026-01-01 00:01:50,least_privilege_and_approval_policy,tool policy engine
audit_000112,task_00064,supply_chain_agent,tool_permission_evaluation,check_inventory_risk,,allow,2026-01-01 00:01:51,least_privilege_and_approval_policy,tool policy engine
audit_000113,task_00064,supply_chain_agent,tool_permission_evaluation,simulate_reroute,,allow,2026-01-01 00:01:52,least_privilege_and_approval_policy,tool policy engine
audit_000114,task_00065,healthcare_ops_agent,tool_permission_evaluation,validate_claim_documents,,require_approval,2026-01-01 00:01:53,least_privilege_and_approval_policy,tool policy engine
audit_000115,task_00065,healthcare_ops_agent,tool_permission_evaluation,check_policy_eligibility,,require_approval,2026-01-01 00:01:54,least_privilege_and_approval_policy,tool policy engine
audit_000116,task_00066,data_quality_agent,tool_permission_evaluation,,,deny,2026-01-01 00:01:55,least_privilege_and_approval_policy,tool policy engine
audit_000117,task_00067,reliability_agent,tool_permission_evaluation,,,deny,2026-01-01 00:01:56,least_privilege_and_approval_policy,tool policy engine
audit_000118,task_00068,rag_agent,tool_permission_evaluation,retrieve_documents,,allow,2026-01-01 00:01:57,least_privilege_and_approval_policy,tool policy engine
audit_000119,task_00068,rag_agent,tool_permission_evaluation,validate_citations,,allow,2026-01-01 00:01:58,least_privilege_and_approval_policy,tool policy engine
audit_000120,task_00069,metrics_agent,tool_permission_evaluation,check_metric_definition,,allow,2026-01-01 00:01:59,least_privilege_and_approval_policy,tool policy engine
audit_000121,task_00069,metrics_agent,tool_permission_evaluation,compare_metric_versions,,allow,2026-01-01 00:02:00,least_privilege_and_approval_policy,tool policy engine
audit_000122,task_00070,governance_agent,tool_permission_evaluation,check_access_policy,,allow,2026-01-01 00:02:01,least_privilege_and_approval_policy,tool policy engine
audit_000123,task_00070,governance_agent,tool_permission_evaluation,detect_prompt_injection,,allow,2026-01-01 00:02:02,least_privilege_and_approval_policy,tool policy engine
audit_000124,task_00071,security_agent,tool_permission_evaluation,,,deny,2026-01-01 00:02:03,prompt_injection_block,tool policy engine
audit_000125,task_00072,executive_agent,tool_permission_evaluation,generate_executive_briefing,,allow,2026-01-01 00:02:04,least_privilege_and_approval_policy,tool policy engine
audit_000126,task_00072,executive_agent,tool_permission_evaluation,summarize_cross_domain_risk,,allow,2026-01-01 00:02:05,least_privilege_and_approval_policy,tool policy engine
audit_000127,task_00073,finance_agent,tool_permission_evaluation,query_revenue_anomalies,,allow,2026-01-01 00:02:06,least_privilege_and_approval_policy,tool policy engine
audit_000128,task_00073,finance_agent,tool_permission_evaluation,calculate_margin_impact,,allow,2026-01-01 00:02:07,least_privilege_and_approval_policy,tool policy engine
audit_000129,task_00074,fraud_agent,tool_permission_evaluation,score_transaction_risk,,allow,2026-01-01 00:02:08,least_privilege_and_approval_policy,tool policy engine
audit_000130,task_00074,fraud_agent,tool_permission_evaluation,check_identity_graph,,allow,2026-01-01 00:02:09,least_privilege_and_approval_policy,tool policy engine
audit_000131,task_00075,support_agent,tool_permission_evaluation,summarize_support_case,,require_approval,2026-01-01 00:02:10,least_privilege_and_approval_policy,tool policy engine
audit_000132,task_00075,support_agent,tool_permission_evaluation,recommend_refund,,require_approval,2026-01-01 00:02:11,least_privilege_and_approval_policy,tool policy engine
audit_000133,task_00076,supply_chain_agent,tool_permission_evaluation,check_inventory_risk,,allow,2026-01-01 00:02:12,least_privilege_and_approval_policy,tool policy engine
audit_000134,task_00076,supply_chain_agent,tool_permission_evaluation,simulate_reroute,,allow,2026-01-01 00:02:13,least_privilege_and_approval_policy,tool policy engine
audit_000135,task_00077,healthcare_ops_agent,tool_permission_evaluation,validate_claim_documents,,require_approval,2026-01-01 00:02:14,least_privilege_and_approval_policy,tool policy engine
audit_000136,task_00077,healthcare_ops_agent,tool_permission_evaluation,check_policy_eligibility,,require_approval,2026-01-01 00:02:15,least_privilege_and_approval_policy,tool policy engine
audit_000137,task_00078,data_quality_agent,tool_permission_evaluation,,,deny,2026-01-01 00:02:16,least_privilege_and_approval_policy,tool policy engine
audit_000138,task_00079,reliability_agent,tool_permission_evaluation,,,deny,2026-01-01 00:02:17,least_privilege_and_approval_policy,tool policy engine
audit_000139,task_00080,rag_agent,tool_permission_evaluation,retrieve_documents,,allow,2026-01-01 00:02:18,least_privilege_and_approval_policy,tool policy engine
audit_000140,task_00080,rag_agent,tool_permission_evaluation,validate_citations,,allow,2026-01-01 00:02:19,least_privilege_and_approval_policy,tool policy engine
audit_000141,task_00081,metrics_agent,tool_permission_evaluation,check_metric_definition,,allow,2026-01-01 00:02:20,least_privilege_and_approval_policy,tool policy engine
audit_000142,task_00081,metrics_agent,tool_permission_evaluation,compare_metric_versions,,allow,2026-01-01 00:02:21,least_privilege_and_approval_policy,tool policy engine
audit_000143,task_00082,governance_agent,tool_permission_evaluation,check_access_policy,,allow,2026-01-01 00:02:22,least_privilege_and_approval_policy,tool policy engine
audit_000144,task_00082,governance_agent,tool_permission_evaluation,detect_prompt_injection,,allow,2026-01-01 00:02:23,least_privilege_and_approval_policy,tool policy engine
audit_000145,task_00083,security_agent,tool_permission_evaluation,,,deny,2026-01-01 00:02:24,prompt_injection_block,tool policy engine
audit_000146,task_00084,executive_agent,tool_permission_evaluation,generate_executive_briefing,,allow,2026-01-01 00:02:25,least_privilege_and_approval_policy,tool policy engine
audit_000147,task_00084,executive_agent,tool_permission_evaluation,summarize_cross_domain_risk,,allow,2026-01-01 00:02:26,least_privilege_and_approval_policy,tool policy engine
audit_000148,task_00085,finance_agent,tool_permission_evaluation,query_revenue_anomalies,,require_approval,2026-01-01 00:02:27,least_privilege_and_approval_policy,tool policy engine
audit_000149,task_00085,finance_agent,tool_permission_evaluation,calculate_margin_impact,,require_approval,2026-01-01 00:02:28,least_privilege_and_approval_policy,tool policy engine
audit_000150,task_00086,fraud_agent,tool_permission_evaluation,score_transaction_risk,,allow,2026-01-01 00:02:29,least_privilege_and_approval_policy,tool policy engine
audit_000151,task_00086,fraud_agent,tool_permission_evaluation,check_identity_graph,,allow,2026-01-01 00:02:30,least_privilege_and_approval_policy,tool policy engine
audit_000152,task_00087,support_agent,tool_permission_evaluation,summarize_support_case,,allow,2026-01-01 00:02:31,least_privilege_and_approval_policy,tool policy engine
audit_000153,task_00087,support_agent,tool_permission_evaluation,recommend_refund,,allow,2026-01-01 00:02:32,least_privilege_and_approval_policy,tool policy engine
audit_000154,task_00088,supply_chain_agent,tool_permission_evaluation,check_inventory_risk,,allow,2026-01-01 00:02:33,least_privilege_and_approval_policy,tool policy engine
audit_000155,task_00088,supply_chain_agent,tool_permission_evaluation,simulate_reroute,,allow,2026-01-01 00:02:34,least_privilege_and_approval_policy,tool policy engine
audit_000156,task_00089,healthcare_ops_agent,tool_permission_evaluation,validate_claim_documents,,require_approval,2026-01-01 00:02:35,least_privilege_and_approval_policy,tool policy engine
audit_000157,task_00089,healthcare_ops_agent,tool_permission_evaluation,check_policy_eligibility,,require_approval,2026-01-01 00:02:36,least_privilege_and_approval_policy,tool policy engine
audit_000158,task_00090,data_quality_agent,tool_permission_evaluation,,,deny,2026-01-01 00:02:37,least_privilege_and_approval_policy,tool policy engine
audit_000159,task_00091,reliability_agent,tool_permission_evaluation,,,deny,2026-01-01 00:02:38,least_privilege_and_approval_policy,tool policy engine
audit_000160,task_00092,rag_agent,tool_permission_evaluation,retrieve_documents,,allow,2026-01-01 00:02:39,least_privilege_and_approval_policy,tool policy engine
audit_000161,task_00092,rag_agent,tool_permission_evaluation,validate_citations,,allow,2026-01-01 00:02:40,least_privilege_and_approval_policy,tool policy engine
audit_000162,task_00093,metrics_agent,tool_permission_evaluation,check_metric_definition,,allow,2026-01-01 00:02:41,least_privilege_and_approval_policy,tool policy engine
audit_000163,task_00093,metrics_agent,tool_permission_evaluation,compare_metric_versions,,allow,2026-01-01 00:02:42,least_privilege_and_approval_policy,tool policy engine
audit_000164,task_00094,governance_agent,tool_permission_evaluation,check_access_policy,,allow,2026-01-01 00:02:43,least_privilege_and_approval_policy,tool policy engine
audit_000165,task_00094,governance_agent,tool_permission_evaluation,detect_prompt_injection,,allow,2026-01-01 00:02:44,least_privilege_and_approval_policy,tool policy engine
audit_000166,task_00095,security_agent,tool_permission_evaluation,,,deny,2026-01-01 00:02:45,prompt_injection_block,tool policy engine
audit_000167,task_00096,executive_agent,tool_permission_evaluation,generate_executive_briefing,,require_approval,2026-01-01 00:02:46,least_privilege_and_approval_policy,tool policy engine
audit_000168,task_00096,executive_agent,tool_permission_evaluation,summarize_cross_domain_risk,,require_approval,2026-01-01 00:02:47,least_privilege_and_approval_policy,tool policy engine
audit_000169,task_00097,finance_agent,tool_permission_evaluation,query_revenue_anomalies,,allow,2026-01-01 00:02:48,least_privilege_and_approval_policy,tool policy engine
audit_000170,task_00097,finance_agent,tool_permission_evaluation,calculate_margin_impact,,allow,2026-01-01 00:02:49,least_privilege_and_approval_policy,tool policy engine
audit_000171,task_00098,fraud_agent,tool_permission_evaluation,score_transaction_risk,,allow,2026-01-01 00:02:50,least_privilege_and_approval_policy,tool policy engine
audit_000172,task_00098,fraud_agent,tool_permission_evaluation,check_identity_graph,,allow,2026-01-01 00:02:51,least_privilege_and_approval_policy,tool policy engine
audit_000173,task_00099,support_agent,tool_permission_evaluation,summarize_support_case,,allow,2026-01-01 00:02:52,least_privilege_and_approval_policy,tool policy engine
audit_000174,task_00099,support_agent,tool_permission_evaluation,recommend_refund,,allow,2026-01-01 00:02:53,least_privilege_and_approval_policy,tool policy engine
audit_000175,task_00100,supply_chain_agent,tool_permission_evaluation,check_inventory_risk,,allow,2026-01-01 00:02:54,least_privilege_and_approval_policy,tool policy engine
audit_000176,task_00100,supply_chain_agent,tool_permission_evaluation,simulate_reroute,,allow,2026-01-01 00:02:55,least_privilege_and_approval_policy,tool policy engine
audit_000177,task_00101,healthcare_ops_agent,tool_permission_evaluation,validate_claim_documents,,require_approval,2026-01-01 00:02:56,least_privilege_and_approval_policy,tool policy engine
audit_000178,task_00101,healthcare_ops_agent,tool_permission_evaluation,check_policy_eligibility,,require_approval,2026-01-01 00:02:57,least_privilege_and_approval_policy,tool policy engine
audit_000179,task_00102,data_quality_agent,tool_permission_evaluation,,,deny,2026-01-01 00:02:58,least_privilege_and_approval_policy,tool policy engine
audit_000180,task_00103,reliability_agent,tool_permission_evaluation,,,deny,2026-01-01 00:02:59,least_privilege_and_approval_policy,tool policy engine
audit_000181,task_00104,rag_agent,tool_permission_evaluation,retrieve_documents,,allow,2026-01-01 00:03:00,least_privilege_and_approval_policy,tool policy engine
audit_000182,task_00104,rag_agent,tool_permission_evaluation,validate_citations,,allow,2026-01-01 00:03:01,least_privilege_and_approval_policy,tool policy engine
audit_000183,task_00105,metrics_agent,tool_permission_evaluation,check_metric_definition,,allow,2026-01-01 00:03:02,least_privilege_and_approval_policy,tool policy engine
audit_000184,task_00105,metrics_agent,tool_permission_evaluation,compare_metric_versions,,allow,2026-01-01 00:03:03,least_privilege_and_approval_policy,tool policy engine
audit_000185,task_00106,governance_agent,tool_permission_evaluation,check_access_policy,,allow,2026-01-01 00:03:04,least_privilege_and_approval_policy,tool policy engine
