approval_id,task_id,requested_action,requesting_agent,risk_score,confidence_score,reason,required_approver_role,approval_status,created_at,reviewer,reviewer_comment,decision_timestamp,decision_reason,post_decision_action
approval_00011,task_00017,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 00:17:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00012,task_00021,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 00:21:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00013,task_00022,review approval queue,governance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 00:22:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00014,task_00024,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 00:24:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00015,task_00025,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 00:25:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00016,task_00027,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 00:27:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00017,task_00029,review approval queue,healthcare_ops_agent,63,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 00:29:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00018,task_00033,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 00:33:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00019,task_00034,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 00:34:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00020,task_00036,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 00:36:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00021,task_00037,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 00:37:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00022,task_00038,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 00:38:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00023,task_00039,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 00:39:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00024,task_00041,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 00:41:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00025,task_00044,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 00:44:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00026,task_00045,review approval queue,metrics_agent,75,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 00:45:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00027,task_00046,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 00:46:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00028,task_00048,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 00:48:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00029,task_00049,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 00:49:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00030,task_00050,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 00:50:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00031,task_00051,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 00:51:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00032,task_00053,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 00:53:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00033,task_00056,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 00:56:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00034,task_00057,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 00:57:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00035,task_00058,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 00:58:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00036,task_00060,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 01:00:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00037,task_00061,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 01:01:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00038,task_00063,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 01:03:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00039,task_00065,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 01:05:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00040,task_00069,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 01:09:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00041,task_00070,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 01:10:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00042,task_00072,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 01:12:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00043,task_00073,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 01:13:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00044,task_00075,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 01:15:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00045,task_00077,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 01:17:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00046,task_00081,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 01:21:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00047,task_00082,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 01:22:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00048,task_00084,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 01:24:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00049,task_00085,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 01:25:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00050,task_00087,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 01:27:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00051,task_00089,review approval queue,healthcare_ops_agent,63,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 01:29:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00052,task_00093,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 01:33:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00053,task_00094,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 01:34:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00054,task_00096,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 01:36:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00055,task_00097,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 01:37:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00056,task_00099,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 01:39:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00057,task_00101,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 01:41:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00058,task_00105,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 01:45:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00059,task_00106,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 01:46:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00060,task_00108,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 01:48:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00061,task_00109,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 01:49:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00062,task_00111,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 01:51:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00063,task_00112,review approval queue,supply_chain_agent,57,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 01:52:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00064,task_00113,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 01:53:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00065,task_00117,review approval queue,metrics_agent,75,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 01:57:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00066,task_00118,review approval queue,governance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 01:58:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00067,task_00120,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 02:00:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00068,task_00121,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 02:01:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00069,task_00122,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 02:02:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00070,task_00123,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 02:03:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00071,task_00125,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 02:05:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00072,task_00129,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 02:09:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00073,task_00130,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 02:10:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00074,task_00132,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 02:12:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00075,task_00133,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 02:13:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00076,task_00135,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 02:15:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00077,task_00136,review approval queue,supply_chain_agent,57,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 02:16:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00078,task_00137,review approval queue,healthcare_ops_agent,63,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 02:17:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00079,task_00141,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 02:21:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00080,task_00142,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 02:22:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
