task_id,scenario_id,expected_loss_action,expected_loss_inaction,business_impact_score,blast_radius_score,safe_to_execute_flag,recommended_strategy
task_00033,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00034,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00035,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00036,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00037,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00038,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00039,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00040,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00041,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00042,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00043,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00044,scenario_004,320.0,1254.4,69,60,False,retrieve newer evidence before answer
task_00045,scenario_005,450.0,1760.0,75,68,False,freeze uncertified metric and route to owner
task_00046,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00047,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00048,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00049,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00050,scenario_001,50.0,198.4,51,36,False,step-up authentication before account freeze
task_00051,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00052,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00053,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00054,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00055,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00056,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00057,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00058,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00059,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00060,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00061,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00062,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00063,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00064,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00065,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00066,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00067,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00068,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00069,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00070,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00071,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00072,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00073,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00074,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00075,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00076,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00077,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00078,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00079,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00080,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00081,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00082,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00083,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00084,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00085,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00086,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00087,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00088,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00089,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00090,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00091,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00092,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00093,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00094,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00095,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00096,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00097,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00098,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00099,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00100,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00101,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00102,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00103,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00104,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00105,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00106,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00107,scenario_007,770.0,3001.6,87,84,False,isolate prompt and block tool execution
task_00108,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00109,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00110,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00111,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00112,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00113,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00114,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00115,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00116,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00117,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00118,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00119,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00120,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00121,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00122,scenario_001,50.0,198.4,51,36,False,step-up authentication before account freeze
task_00123,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00124,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00125,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00126,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00127,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00128,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00129,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00130,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00131,scenario_007,770.0,3001.6,87,84,False,isolate prompt and block tool execution
task_00132,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00133,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00134,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00135,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00136,scenario_002,120.0,473.6,57,44,False,simulate reroute and check finance margin
task_00137,scenario_003,210.0,825.6,63,52,False,route sensitive cases to human review
task_00138,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00139,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00140,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00141,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00142,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00143,scenario_007,770.0,3001.6,87,84,False,isolate prompt and block tool execution
task_00144,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00145,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00146,scenario_001,50.0,198.4,51,36,False,step-up authentication before account freeze
task_00147,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00148,scenario_002,120.0,473.6,57,44,False,simulate reroute and check finance margin
task_00149,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00150,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00151,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00152,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00153,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00154,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00155,scenario_007,770.0,3001.6,87,84,False,isolate prompt and block tool execution
task_00156,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00157,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00158,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00159,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00160,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00161,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00162,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00163,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00164,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00165,scenario_005,450.0,1760.0,75,68,False,freeze uncertified metric and route to owner
task_00166,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00167,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00168,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00169,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00170,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00171,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00172,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00173,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00174,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00175,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00176,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00177,scenario_005,450.0,1760.0,75,68,False,freeze uncertified metric and route to owner
task_00178,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00179,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00180,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00181,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00182,scenario_001,50.0,198.4,51,36,False,step-up authentication before account freeze
task_00183,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00184,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00185,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00186,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00187,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00188,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00189,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00190,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00191,scenario_007,770.0,3001.6,87,84,False,isolate prompt and block tool execution
task_00192,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00193,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00194,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00195,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00196,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00197,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00198,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00199,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00200,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00201,scenario_005,450.0,1760.0,75,68,False,freeze uncertified metric and route to owner
task_00202,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00203,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00204,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00205,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00206,scenario_001,50.0,198.4,51,36,False,step-up authentication before account freeze
task_00207,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00208,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00209,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00210,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00211,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00212,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00213,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00214,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00215,scenario_007,770.0,3001.6,87,84,False,isolate prompt and block tool execution
task_00216,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00217,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00218,scenario_001,50.0,198.4,51,36,False,step-up authentication before account freeze
task_00219,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00220,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00221,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00222,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00223,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00224,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00225,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00226,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00227,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00228,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00229,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00230,scenario_001,50.0,198.4,51,36,False,step-up authentication before account freeze
task_00231,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00232,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00233,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00234,scenario_006,600.0,2342.4,81,76,False,quarantine affected partition only
task_00235,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00236,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00237,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00238,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00239,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00240,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00241,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00242,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00243,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00244,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00245,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00246,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00247,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00248,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00249,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00250,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00251,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00252,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00253,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00254,scenario_001,50.0,198.4,51,36,False,step-up authentication before account freeze
task_00255,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00256,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00257,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00258,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00259,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00260,scenario_004,320.0,1254.4,69,60,False,retrieve newer evidence before answer
task_00261,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00262,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00263,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00264,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00265,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00266,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00267,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00268,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00269,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00270,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00271,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00272,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00273,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00274,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00275,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00276,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00277,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00278,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00279,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00280,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00281,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00282,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00283,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00284,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00285,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00286,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00287,scenario_007,770.0,3001.6,87,84,False,isolate prompt and block tool execution
task_00288,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00289,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00290,scenario_001,50.0,198.4,51,36,False,step-up authentication before account freeze
task_00291,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00292,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00293,scenario_003,210.0,825.6,63,52,False,route sensitive cases to human review
task_00294,scenario_006,600.0,2342.4,81,76,False,quarantine affected partition only
task_00295,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00296,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00297,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00298,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00299,scenario_007,770.0,3001.6,87,84,False,isolate prompt and block tool execution
task_00300,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00301,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00302,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00303,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00304,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00305,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00306,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00307,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00308,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00309,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00310,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00311,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00312,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00313,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00314,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00315,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00316,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00317,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00318,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00319,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00320,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00321,scenario_005,450.0,1760.0,75,68,False,freeze uncertified metric and route to owner
task_00322,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00323,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00324,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00325,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00326,scenario_001,50.0,198.4,51,36,False,step-up authentication before account freeze
task_00327,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00328,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00329,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00330,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00331,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00332,scenario_004,320.0,1254.4,69,60,False,retrieve newer evidence before answer
task_00333,scenario_005,450.0,1760.0,75,68,False,freeze uncertified metric and route to owner
task_00334,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00335,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00336,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00337,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00338,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00339,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00340,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00341,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00342,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00343,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00344,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00345,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
task_00346,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00347,scenario_007,770.0,3001.6,87,84,True,isolate prompt and block tool execution
task_00348,scenario_008,960.0,3737.6,93,92,False,include dissenting views and unresolved risks
task_00349,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00350,scenario_001,50.0,198.4,51,36,True,step-up authentication before account freeze
task_00351,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00352,scenario_002,120.0,473.6,57,44,True,simulate reroute and check finance margin
task_00353,scenario_003,210.0,825.6,63,52,True,route sensitive cases to human review
task_00354,scenario_006,600.0,2342.4,81,76,True,quarantine affected partition only
task_00355,scenario_008,960.0,3737.6,93,92,True,include dissenting views and unresolved risks
task_00356,scenario_004,320.0,1254.4,69,60,True,retrieve newer evidence before answer
task_00357,scenario_005,450.0,1760.0,75,68,True,freeze uncertified metric and route to owner
