task_id,agent_id,tool_id,permission_result,policy_reason,requires_approval,risk_level,reversible_flag,span_type
task_00015,support_agent,summarize_support_case,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00015,support_agent,recommend_refund,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00016,supply_chain_agent,check_inventory_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00016,supply_chain_agent,simulate_reroute,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00017,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00017,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00018,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00019,reliability_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00020,rag_agent,retrieve_documents,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00020,rag_agent,validate_citations,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00021,metrics_agent,check_metric_definition,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00021,metrics_agent,compare_metric_versions,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00022,governance_agent,check_access_policy,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00022,governance_agent,detect_prompt_injection,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00023,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00024,executive_agent,generate_executive_briefing,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00024,executive_agent,summarize_cross_domain_risk,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00025,finance_agent,query_revenue_anomalies,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00025,finance_agent,calculate_margin_impact,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00026,fraud_agent,score_transaction_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00026,fraud_agent,check_identity_graph,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00027,support_agent,summarize_support_case,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00027,support_agent,recommend_refund,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00028,supply_chain_agent,check_inventory_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00028,supply_chain_agent,simulate_reroute,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00029,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00029,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00030,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00031,reliability_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00032,rag_agent,retrieve_documents,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00032,rag_agent,validate_citations,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00033,metrics_agent,check_metric_definition,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00033,metrics_agent,compare_metric_versions,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00034,governance_agent,check_access_policy,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00034,governance_agent,detect_prompt_injection,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00035,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00036,executive_agent,generate_executive_briefing,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00036,executive_agent,summarize_cross_domain_risk,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00037,finance_agent,query_revenue_anomalies,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00037,finance_agent,calculate_margin_impact,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00038,fraud_agent,score_transaction_risk,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00038,fraud_agent,check_identity_graph,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00039,support_agent,summarize_support_case,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00039,support_agent,recommend_refund,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00040,supply_chain_agent,check_inventory_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00040,supply_chain_agent,simulate_reroute,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00041,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00041,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00042,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00043,reliability_agent,,deny,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00044,rag_agent,retrieve_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00044,rag_agent,validate_citations,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00045,metrics_agent,check_metric_definition,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00045,metrics_agent,compare_metric_versions,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00046,governance_agent,check_access_policy,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00046,governance_agent,detect_prompt_injection,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00047,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00048,executive_agent,generate_executive_briefing,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00048,executive_agent,summarize_cross_domain_risk,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00049,finance_agent,query_revenue_anomalies,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00049,finance_agent,calculate_margin_impact,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00050,fraud_agent,score_transaction_risk,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00050,fraud_agent,check_identity_graph,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00051,support_agent,summarize_support_case,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00051,support_agent,recommend_refund,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00052,supply_chain_agent,check_inventory_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00052,supply_chain_agent,simulate_reroute,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00053,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00053,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00054,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00055,reliability_agent,,deny,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00056,rag_agent,retrieve_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00056,rag_agent,validate_citations,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00057,metrics_agent,check_metric_definition,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00057,metrics_agent,compare_metric_versions,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00058,governance_agent,check_access_policy,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00058,governance_agent,detect_prompt_injection,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00059,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00060,executive_agent,generate_executive_briefing,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00060,executive_agent,summarize_cross_domain_risk,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00061,finance_agent,query_revenue_anomalies,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00061,finance_agent,calculate_margin_impact,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00062,fraud_agent,score_transaction_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00062,fraud_agent,check_identity_graph,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00063,support_agent,summarize_support_case,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00063,support_agent,recommend_refund,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00064,supply_chain_agent,check_inventory_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00064,supply_chain_agent,simulate_reroute,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00065,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00065,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00066,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00067,reliability_agent,,deny,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00068,rag_agent,retrieve_documents,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00068,rag_agent,validate_citations,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00069,metrics_agent,check_metric_definition,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00069,metrics_agent,compare_metric_versions,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00070,governance_agent,check_access_policy,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00070,governance_agent,detect_prompt_injection,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00071,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00072,executive_agent,generate_executive_briefing,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00072,executive_agent,summarize_cross_domain_risk,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00073,finance_agent,query_revenue_anomalies,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00073,finance_agent,calculate_margin_impact,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00074,fraud_agent,score_transaction_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00074,fraud_agent,check_identity_graph,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00075,support_agent,summarize_support_case,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00075,support_agent,recommend_refund,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00076,supply_chain_agent,check_inventory_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00076,supply_chain_agent,simulate_reroute,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00077,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00077,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00078,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00079,reliability_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00080,rag_agent,retrieve_documents,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00080,rag_agent,validate_citations,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00081,metrics_agent,check_metric_definition,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00081,metrics_agent,compare_metric_versions,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00082,governance_agent,check_access_policy,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00082,governance_agent,detect_prompt_injection,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00083,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00084,executive_agent,generate_executive_briefing,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00084,executive_agent,summarize_cross_domain_risk,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00085,finance_agent,query_revenue_anomalies,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00085,finance_agent,calculate_margin_impact,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00086,fraud_agent,score_transaction_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00086,fraud_agent,check_identity_graph,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00087,support_agent,summarize_support_case,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00087,support_agent,recommend_refund,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00088,supply_chain_agent,check_inventory_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00088,supply_chain_agent,simulate_reroute,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00089,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00089,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00090,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00091,reliability_agent,,deny,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00092,rag_agent,retrieve_documents,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00092,rag_agent,validate_citations,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00093,metrics_agent,check_metric_definition,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00093,metrics_agent,compare_metric_versions,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00094,governance_agent,check_access_policy,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00094,governance_agent,detect_prompt_injection,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00095,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00096,executive_agent,generate_executive_briefing,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00096,executive_agent,summarize_cross_domain_risk,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00097,finance_agent,query_revenue_anomalies,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00097,finance_agent,calculate_margin_impact,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00098,fraud_agent,score_transaction_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00098,fraud_agent,check_identity_graph,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00099,support_agent,summarize_support_case,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00099,support_agent,recommend_refund,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00100,supply_chain_agent,check_inventory_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00100,supply_chain_agent,simulate_reroute,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00101,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00101,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00102,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00103,reliability_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00104,rag_agent,retrieve_documents,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00104,rag_agent,validate_citations,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00105,metrics_agent,check_metric_definition,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00105,metrics_agent,compare_metric_versions,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00106,governance_agent,check_access_policy,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00106,governance_agent,detect_prompt_injection,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00107,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00108,executive_agent,generate_executive_briefing,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00108,executive_agent,summarize_cross_domain_risk,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00109,finance_agent,query_revenue_anomalies,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00109,finance_agent,calculate_margin_impact,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00110,fraud_agent,score_transaction_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00110,fraud_agent,check_identity_graph,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00111,support_agent,summarize_support_case,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00111,support_agent,recommend_refund,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00112,supply_chain_agent,check_inventory_risk,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00112,supply_chain_agent,simulate_reroute,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00113,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00113,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00114,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00115,reliability_agent,,deny,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00116,rag_agent,retrieve_documents,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00116,rag_agent,validate_citations,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00117,metrics_agent,check_metric_definition,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00117,metrics_agent,compare_metric_versions,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00118,governance_agent,check_access_policy,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00118,governance_agent,detect_prompt_injection,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00119,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00120,executive_agent,generate_executive_briefing,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00120,executive_agent,summarize_cross_domain_risk,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00121,finance_agent,query_revenue_anomalies,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00121,finance_agent,calculate_margin_impact,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00122,fraud_agent,score_transaction_risk,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00122,fraud_agent,check_identity_graph,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00123,support_agent,summarize_support_case,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00123,support_agent,recommend_refund,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00124,supply_chain_agent,check_inventory_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00124,supply_chain_agent,simulate_reroute,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00125,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00125,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00126,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00127,reliability_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00128,rag_agent,retrieve_documents,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00128,rag_agent,validate_citations,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00129,metrics_agent,check_metric_definition,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00129,metrics_agent,compare_metric_versions,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00130,governance_agent,check_access_policy,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00130,governance_agent,detect_prompt_injection,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00131,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00132,executive_agent,generate_executive_briefing,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00132,executive_agent,summarize_cross_domain_risk,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00133,finance_agent,query_revenue_anomalies,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00133,finance_agent,calculate_margin_impact,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00134,fraud_agent,score_transaction_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00134,fraud_agent,check_identity_graph,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00135,support_agent,summarize_support_case,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00135,support_agent,recommend_refund,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00136,supply_chain_agent,check_inventory_risk,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00136,supply_chain_agent,simulate_reroute,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00137,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00137,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00138,data_quality_agent,,deny,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00139,reliability_agent,,deny,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00140,rag_agent,retrieve_documents,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00140,rag_agent,validate_citations,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00141,metrics_agent,check_metric_definition,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00141,metrics_agent,compare_metric_versions,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00142,governance_agent,check_access_policy,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00142,governance_agent,detect_prompt_injection,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00143,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00144,executive_agent,generate_executive_briefing,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00144,executive_agent,summarize_cross_domain_risk,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00145,finance_agent,query_revenue_anomalies,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00145,finance_agent,calculate_margin_impact,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00146,fraud_agent,score_transaction_risk,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00146,fraud_agent,check_identity_graph,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00147,support_agent,summarize_support_case,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00147,support_agent,recommend_refund,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00148,supply_chain_agent,check_inventory_risk,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00148,supply_chain_agent,simulate_reroute,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00149,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00149,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00150,data_quality_agent,,deny,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00151,reliability_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00152,rag_agent,retrieve_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00152,rag_agent,validate_citations,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00153,metrics_agent,check_metric_definition,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00153,metrics_agent,compare_metric_versions,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00154,governance_agent,check_access_policy,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00154,governance_agent,detect_prompt_injection,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00155,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00156,executive_agent,generate_executive_briefing,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00156,executive_agent,summarize_cross_domain_risk,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00157,finance_agent,query_revenue_anomalies,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00157,finance_agent,calculate_margin_impact,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00158,fraud_agent,score_transaction_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00158,fraud_agent,check_identity_graph,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00159,support_agent,summarize_support_case,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00159,support_agent,recommend_refund,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00160,supply_chain_agent,check_inventory_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00160,supply_chain_agent,simulate_reroute,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00161,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00161,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00162,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00163,reliability_agent,,deny,least_privilege_and_approval_policy,True,medium,True,tool_call
